,RESOLUCAO,EMPRESA,AUTORIZACAO,NOME_PRODUTO_MARCA,NUMERO_PROCESSO,NUMERO_REGISTRO,VENDA_EMPREGO,VENCIMENTO,APRESENTACAO,VALIDADE_PRODUTO,CATEGORIA,ASSUNTO_PETICAO,EXPEDIENTE_PETICAO,VERSAO
12,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",American Nutrients do Brasil Indústria e Comércio Ltda.,3.05522-1,MUUCARE DESINCRUSTANTE ÁCIDO,5351.292413/2021-94,3.5522.0032.003-4,PRODUTO DE VENDA LIVR,01/2032,MUUCARE DESINCRUSTANTE ÁCIDO + BALDE PLASTICO + FILME DE POLIETILENO,24 Meses,3222029 DESINCRUSTANTE ÁCIDO,30020 REG. SANEANTES - Registro de produtos saneantes,8542326/21-2,None
13,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",American Nutrients do Brasil Indústria e Comércio Ltda.,3.05522-1,MUUCARE DESINCRUSTANTE ÁCIDO,5351.292413/2021-94,3.5522.0032.004-2,PRODUTO DE VENDA LIVR,01/2032,MUUCARE DESINCRUSTANTE ÁCIDO + GALAO PLASTICO + FILME DE POLIETILENO,24 Meses,3222029 DESINCRUSTANTE ÁCIDO,30020 REG. SANEANTES - Registro de produtos saneantes,8542326/21-2,None
14,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",American Nutrients do Brasil Indústria e Comércio Ltda.,3.05522-1,MUUCARE DESINCRUSTANTE ÁCIDO,5351.292413/2021-94,3.5522.0032.005-0,PRODUTO DE VENDA LIVR,01/2032,MUUCARE DESINCRUSTANTE ÁCIDO + TAMBOR PLASTICO OPACO + FILME DE POLIETILENO,24 Meses,3222029 DESINCRUSTANTE ÁCIDO,30020 REG. SANEANTES - Registro de produtos saneantes,8542326/21-2,None
15,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",American Nutrients do Brasil Indústria e Comércio Ltda.,3.05522-1,MUUCARE DESINCRUSTANTE ÁCIDO,5351.292413/2021-94,3.5522.0032.006-9,PRODUTO DE VENDA LIVR,01/2032,MUUCARE DESINCRUSTANTE ÁCIDO + ACONDICIONAMENTO NAO PREVISTO NA TABELA + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA,24 Meses,3222029 DESINCRUSTANTE ÁCIDO,30020 REG. SANEANTES - Registro de produtos saneantes,8542326/21-2,None
16,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",American Nutrients do Brasil Indústria e Comércio Ltda.,3.05522-1,DESINFETANTE PET AMERICAN NUTRIENTS,5351.584391/2020-13,3.5522.0024.003-0,PRODUTO DE VENDA LIVRE,03/2031,AMEPET + FRASCO DE PLASTICO OPACO SPRAY + CAIXA DE PAPELAO,24 Meses,3205061 DESINFETANTE PARA USO GERAL,3899 REG. SANEANTES - Cancelamento de embalagem de Produto a pedido,8422987/21-0,None
17,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",Archote Indústria Química Ltda,3.00524-6,ÁGUA SANITÁRIA AGIFÁCIL,5351.295632/2005-13,3.0524.0020.001-4,PRODUTO DE VENDA LIVRE,09/2025,FRASCO DE PLASTICO OPACO,6 Meses,3103033 ÁGUA SANITÁRIA,389 REG. SANEANTES - Alteração de Rotulagem de Produto,4700605/21-9,None
18,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",Archote Indústria Química Ltda,3.00524-6,ÁGUA SANITÁRIA AGIFÁCIL,5351.295632/2005-13,3.0524.0020.002-2,PRODUTO DE VENDA LIVRE,09/2025,GALAO,6 Meses,3103033 ÁGUA SANITÁRIA,389 REG. SANEANTES - Alteração de Rotulagem de Produto,4700605/21-9,None
19,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",Archote Indústria Química Ltda,3.00524-6,ÁGUA SANITÁRIA AGIFÁCIL,5351.295632/2005-13,3.0524.0020.003-0,PRODUTO DE VENDA LIVRE,09/2025,BOMBONA PLASTICA,6 Meses,3103033 ÁGUA SANITÁRIA,389 REG. SANEANTES - Alteração de Rotulagem de Produto,4700605/21-9,None
20,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",ARY SILVIO C FILHO INDUSTRIA E COMERCIO DE PRODUTOS DE LIMPEZA LTDA,3.03271-1,ÁLCOOL ETÍLICO HIDRATADO 70º E DESINFETANTE HOSPITALAR CLEAN DOMESTIC,5351.537196/2021-77,3.3271.0006.001-0,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA,01/2032,FRASCO DE PLASTICO TRANSPARENTE + CAIXA DE PAPELAO,24 Meses,3205029 DESINFETANTE HOSPITALAR PARA SUPERFÍCIES FIXAS E ARTIGOS NÃO CRÍTICOS,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
21,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",ARY SILVIO C FILHO INDUSTRIA E COMERCIO DE PRODUTOS DE LIMPEZA LTDA,3.03271-1,ÁLCOOL ETÍLICO HIDRATADO 70º E DESINFETANTE HOSPITALAR CLEAN DOMESTIC,5351.537196/2021-77,3.3271.0006.002-9,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA,01/2032,BOMBONA PLASTICA TRANSPARENTE + CAIXA DE PAPELAO,24 Meses,3205029 DESINFETANTE HOSPITALAR PARA SUPERFÍCIES FIXAS E ARTIGOS NÃO CRÍTICOS,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
22,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",BASTON INDÚSTRIA DE AEROSSOIS LTDA,3.04067-3,RODOX MÁXIMA AÇÃO,5351.459422/2021-71,3.4067.0077.001-2,PRODUTO DE VENDA LIVRE,01/2032,TUBO DE FLANDRES + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA,24 Meses,3206017 INSETICIDA DE VENDA LIVRE,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
23,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",BECKER INDUSTRIA DE COSMETICOS LTDA - ME,3.07194-1,BECKER ALKALI CIP,5351.256967/2021-28,3.7194.0057.001-9,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA,09/2031,ÚNICA + GALAO PLASTICO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA,6 Meses,3205053 DESINFETANTE PARA INDÚSTRIA ALIMENTÍCIA E AFINS,392 REG. SANEANTES - Novo Prazo de Validade de Produto,4754182/21-9,None
24,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",BECKER INDUSTRIA DE COSMETICOS LTDA - ME,3.07194-1,BECKER ALKALI CIP,5351.256967/2021-28,3.7194.0057.002-7,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA,09/2031,ÚNICA + BOMBONA PLASTICA + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA,6 Meses,3205053 DESINFETANTE PARA INDÚSTRIA ALIMENTÍCIA E AFINS,392 REG. SANEANTES - Novo Prazo de Validade de Produto,4754182/21-9,None
25,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",BIOCHEMICAL PRODUTOS QUIMICOS LTDA ME,3.02593-7,BIOCLORE,5351.753179/2010-11,3.2593.0039.001-6,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA,02/2026,BOMBONA PLASTICA + CAIXA DE PAPELAO,6 Meses,3205061 DESINFETANTE PARA USO GERAL,312 REG. SANEANTES - Mudança de Categoria de Produto,3718254/21-2,None
26,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",BOMBRIL S/A,3.00589-1,LYSOBRIL,5351.051119/2021-24,3.0589.0265.001-5,PRODUTO DE VENDA LIVRE,01/2032,CLÁSSICO + FRASCO + CAIXA DE PAPELAO,24 Meses,3205061 DESINFETANTE PARA USO GERAL,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
27,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",BOMBRIL S/A,3.00589-1,LYSOBRIL,5351.051119/2021-24,3.0589.0265.002-3,PRODUTO DE VENDA LIVRE,01/2032,FRESH + FRASCO + CAIXA DE PAPELAO,24 Meses,3205061 DESINFETANTE PARA USO GERAL,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
28,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",BOMBRIL S/A,3.00589-1,LYSOBRIL,5351.051119/2021-24,3.0589.0265.003-1,PRODUTO DE VENDA LIVRE,01/2032,LAVANDA + FRASCO + CAIXA DE PAPELAO,24 Meses,3205061 DESINFETANTE PARA USO GERAL,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
29,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",BRILHO XIKE PRODUTOS DE LIMPEZA LTDA- ME,3.03499-0,VETCLEAN SPECTRUM,5351.642830/2021-92,3.3499.0018.001-1,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA,01/2032,FRASCO DE PLASTICO OPACO,24 Meses,3205061 DESINFETANTE PARA USO GERAL,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
30,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",BRILHO XIKE PRODUTOS DE LIMPEZA LTDA- ME,3.03499-0,VETCLEAN SPECTRUM,5351.642830/2021-92,3.3499.0018.002-1,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA,01/2032,GALAO PLASTICO,24 Meses,3205061 DESINFETANTE PARA USO GERAL,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
31,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",BRILHO XIKE PRODUTOS DE LIMPEZA LTDA- ME,3.03499-0,VETCLEAN SPECTRUM,5351.642830/2021-92,3.3499.0018.003-8,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA,01/2032,BOMBONA PLASTICA,24 Meses,3205061 DESINFETANTE PARA USO GERAL,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
32,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",CHEMICALL MAX PRODUTOS QUIMICOS DE LIMPEZA LTDA - EPP,3.07651-9,ALUMINOX TOP MIX DETERGENTE DESINCRUSTANTE ÁCIDO,5351.677237/2017-81,3.7651.0005.001-3,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA,03/2023,FRASCO DE PLÁSTICO TRANSLÚCIDO + CAIXA DE PAPELAO,12 Meses,3203018 DETERGENTE PROFISSIONAL DESINCRUSTANTE ÁCIDO,330 REG. SANEANTES - Modificação de Fórmula de Produto,4799268/21-0,None
33,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",CHEMICALL MAX PRODUTOS QUIMICOS DE LIMPEZA LTDA - EPP,3.07651-9,ALUMINOX TOP MIX DETERGENTE DESINCRUSTANTE ÁCIDO,5351.677237/2017-81,3.7651.0005.002-1,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA,03/2023,GALAO PLASTICO + ACONDICIONAMENTO NAO PREVISTO NA TABELA,12 Meses,3203018 DETERGENTE PROFISSIONAL DESINCRUSTANTE ÁCIDO,330 REG. SANEANTES - Modificação de Fórmula de Produto,4799268/21-0,None
34,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",CHEMICALL MAX PRODUTOS QUIMICOS DE LIMPEZA LTDA - EPP,3.07651-9,ALUMINOX TOP MIX DETERGENTE DESINCRUSTANTE ÁCIDO,5351.677237/2017-81,3.7651.0005.003-1,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA,03/2023,BOMBONA PLASTICA OPACA + ACONDICIONAMENTO NAO PREVISTO NA TABELA,12 Meses,3203018 DETERGENTE PROFISSIONAL DESINCRUSTANTE ÁCIDO,330 REG. SANEANTES - Modificação de Fórmula de Produto,4799268/21-0,None
35,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",CHEMICALL MAX PRODUTOS QUIMICOS DE LIMPEZA LTDA - EPP,3.07651-9,ALUMINOX TOP MIX DETERGENTE DESINCRUSTANTE ÁCIDO,5351.677237/2017-81,3.7651.0005.004-8,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA,03/2023,TAMBOR METALICO + ACONDICIONAMENTO NAO PREVISTO NA TABELA,12 Meses,3203018 DETERGENTE PROFISSIONAL DESINCRUSTANTE ÁCIDO,330 REG. SANEANTES - Modificação de Fórmula de Produto,4799268/21-0,None
36,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",CHEMIE SAÚDE AMBIENTAL LTDA,3.09286-1,ACTION 3X1 MULTCLOR,5351.000277/2021-16,3.9286.0014.001-1,PRODUTO DE VENDA LIVRE,01/2032,1 KG + SACO PLASTICO + CAIXA DE PAPELAO,24 Meses,3205045 DESINFETANTE PARA PISCINAS,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
37,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",CHEMIE SAÚDE AMBIENTAL LTDA,3.09286-1,ACTION 3X1 MULTCLOR,5351.000277/2021-16,3.9286.0014.002-8,PRODUTO DE VENDA LIVRE,01/2032,7 KG + BALDE PLASTICO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA,24 Meses,3205045 DESINFETANTE PARA PISCINAS,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
38,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",CHEMIE SAÚDE AMBIENTAL LTDA,3.09286-1,ACTION 3X1 MULTCLOR,5351.000277/2021-16,3.9286.0014.003-6,PRODUTO DE VENDA LIVRE,01/2032,10 KG + BALDE PLASTICO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA,24 Meses,3205045 DESINFETANTE PARA PISCINAS,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
39,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",CHEMIE SAÚDE AMBIENTAL LTDA,3.09286-1,ACTION 3X1 MULTCLOR,5351.000277/2021-16,3.9286.0014.004-4,PRODUTO DE VENDA LIVRE,01/2032,40 KG + BOMBONA PLASTICA + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA,24 Meses,3205045 DESINFETANTE PARA PISCINAS,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
40,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",CHEMIE SAÚDE AMBIENTAL LTDA,3.09286-1,ACTION 3X1 MULTCLOR,5351.000277/2021-16,3.9286.0014.005-2,PRODUTO DE VENDA LIVRE,01/2032,45 KG + BOMBONA PLASTICA + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA,24 Meses,3205045 DESINFETANTE PARA PISCINAS,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
41,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",CIQ COMÉRCIO E INDÚSTRIAS QUÍMICAS LTDA,3.03164-1,LIMPLUS ALCALINO CLORADO,5351.011036/2022-83,3.3164.0003.001-4,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA,01/2032,VERSÃO 1 + GALAO PLASTICO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA,6 Meses,3222030 DESINCRUSTANTE ALCALINO,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
42,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",CIQ COMÉRCIO E INDÚSTRIAS QUÍMICAS LTDA,3.03164-1,LIMPLUS ALCALINO CLORADO,5351.011036/2022-83,3.3164.0003.002-2,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA,01/2032,VERSÃO 1 + BOMBONA PLASTICA OPACA + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA,6 Meses,3222030 DESINCRUSTANTE ALCALINO,30020 REG. SANEANTES - Registro de produtos saneantes,None,None
43,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",CITROMAX INDUSTRIA E COMERCIO LTDA EPP,3.02923-7,GLIFOSATO POWER CITROMAX MAX 20,5351.152530/2018-11,3.2923.0126.001-0,PRODUTO DE VENDA LIVRE,06/2028,FRASCO DE PLASTICO OPACO + CAIXA DE PAPELAO,24 Meses,3222019 JARDINAGEM AMADORA,389 REG. SANEANTES - Alteração de Rotulagem de Produto,7029949/21-8,None
44,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",CITROMAX INDUSTRIA E COMERCIO LTDA EPP,3.02923-7,MADALDRIN 400 PÓ,5351.626427/2014-06,3.2923.0073.001-3,PRODUTO DE VENDA LIVRE,12/2029,SACO PLASTICO + CAIXA DE PAPELAO,25 Meses,3206017 INSETICIDA DE VENDA LIVRE,389 REG. SANEANTES - Alteração de Rotulagem de Produto,4971180/21-4,None
45,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",CITROMAX INDUSTRIA E COMERCIO LTDA EPP,3.02923-7,MADALDRIN 400 PÓ,5351.626427/2014-06,3.2923.0073.002-1,PRODUTO DE VENDA LIVRE,12/2029,POTE DE PLASTICO + CAIXA DE PAPELAO,25 Meses,3206017 INSETICIDA DE VENDA LIVRE,389 REG. SANEANTES - Alteração de Rotulagem de Produto,4971180/21-4,None
46,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",COLGATE PALMOLIVE INDUSTRIAL LTDA,3.04146-6,AJAX ALTERNATIVA AO CLORO FLORAL,5351.558408/2020-79,3.4146.0409.001-5,PRODUTO DE VENDA LIVRE,03/2031,FRASCO DE PLASTICO OPACO,18 Meses,3205061 DESINFETANTE PARA USO GERAL,389 REG. SANEANTES - Alteração de Rotulagem de Produto,3913293/21-3,FLORAL
47,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",COMOLIMPA INDUSTRIA QUIMICA LTDA,3.02091-2,DESINFETANTE ZAB,5351.806971/2020-69,3.2091.0014.001-1,PRODUTO DE VENDA LIVRE,11/2030,EUCALIPTO + FRASCO DE PLASTICO TRANSPARENTE + CAIXA DE PAPELAO,24 Meses,3205061 DESINFETANTE PARA USO GERAL,330 REG. SANEANTES - Modificação de Fórmula de Produto,4695975/21-1,None
48,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",COMOLIMPA INDUSTRIA QUIMICA LTDA,3.02091-2,DESINFETANTE ZAB,5351.806971/2020-69,3.2091.0014.002-8,PRODUTO DE VENDA LIVRE,11/2030,EUCALIPTO + BOMBONA PLASTICA + CAIXA DE PAPELAO,24 Meses,3205061 DESINFETANTE PARA USO GERAL,330 REG. SANEANTES - Modificação de Fórmula de Produto,4695975/21-1,None
49,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",COMOLIMPA INDUSTRIA QUIMICA LTDA,3.02091-2,DESINFETANTE ZAB,5351.806971/2020-69,3.2091.0014.003-6,PRODUTO DE VENDA LIVRE,11/2030,PINHO SILVESTRE + FRASCO DE PLASTICO TRANSPARENTE + CAIXA DE PAPELAO,24 Meses,3205061 DESINFETANTE PARA USO GERAL,330 REG. SANEANTES - Modificação de Fórmula de Produto,4695975/21-1,None
50,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",COMOLIMPA INDUSTRIA QUIMICA LTDA,3.02091-2,DESINFETANTE ZAB,5351.806971/2020-69,3.2091.0014.004-4,PRODUTO DE VENDA LIVRE,11/2030,PINHO SILVESTRE + BOMBONA PLASTICA + CAIXA DE PAPELAO,24 Meses,3205061 DESINFETANTE PARA USO GERAL,330 REG. SANEANTES - Modificação de Fórmula de Produto,4695975/21-1,None
51,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",COMOLIMPA INDUSTRIA QUIMICA LTDA,3.02091-2,DESINFETANTE ZAB,5351.806971/2020-69,3.2091.0014.005-2,PRODUTO DE VENDA LIVRE,11/2030,LAVANDA + FRASCO DE PLASTICO TRANSPARENTE + CAIXA DE PAPELAO,24 Meses,3205061 DESINFETANTE PARA USO GERAL,330 REG. SANEANTES - Modificação de Fórmula de Produto,4695975/21-1,None
52,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",COMOLIMPA INDUSTRIA QUIMICA LTDA,3.02091-2,DESINFETANTE ZAB,5351.806971/2020-69,3.2091.0014.006-0,PRODUTO DE VENDA LIVRE,11/2030,LAVANDA + BOMBONA PLASTICA + CAIXA DE PAPELAO,24 Meses,3205061 DESINFETANTE PARA USO GERAL,330 REG. SANEANTES - Modificação de Fórmula de Produto,4695975/21-1,None
53,"RESOLUÇÃO-RE Nº 175, DE 20 DE JANEIRO DE 2022",COMOLIMPA INDUSTRIA QUIMICA LTDA,3.02091-2,DESINFETANTE ZAB,5351.806971/2020-69,3.2091.0014.007-9,PRODUTO DE VENDA LIVRE,11/2030,FLORAL + FRASCO DE PLASTICO TRANSPARENTE + CAIXA DE PAPELAO,24 Meses,3205061 DESINFETANTE PARA USO GERAL,330 REG. SANEANTES - Modificação de Fórmula de Produto,4695975/21-1,None
